benchmarks,native,,,,,,,,globals,,,,,,,,locals,,,,,,,,abi,,,,,,,
name,tmean,tsd,%mean,%sd,mean,sd,x,xsd,tmean,tsd,%mean,%sd,mean,sd,x,xsd,tmean,tsd,%mean,%sd,mean,sd,x,xsd,tmean,tsd,%mean,%sd,mean,sd,x,xsd
dijkstra,0.5850,0.0018,91.72,0.61,0.5366,0.0039,1.00,0.00,1.0939,0.0057,95.22,0.40,1.0417,0.0070,1.94,0.02,0.5808,0.0043,91.21,0.82,0.5298,0.0062,0.99,0.01,0.5848,0.0029,90.78,0.77,0.5308,0.0052,0.99,0.01
crc32,0.1690,0.0011,14.79,1.83,0.0250,0.0031,1.00,0.00,0.2054,0.0029,21.99,2.57,0.0452,0.0053,1.81,0.31,0.1698,0.0018,16.61,1.56,0.0282,0.0027,1.13,0.18,0.1682,0.0003,13.28,1.46,0.0223,0.0025,0.89,0.15
rijndael-encode,0.1658,0.0003,58.76,1.11,0.0974,0.0019,1.00,0.00,0.5433,0.0018,86.93,0.89,0.4723,0.0051,4.85,0.11,0.2147,0.0030,67.02,0.94,0.1439,0.0028,1.48,0.04,0.1738,0.0016,60.06,2.15,0.1044,0.0039,1.07,0.04
rijndael-decode,0.1599,0.0004,58.09,2.20,0.0929,0.0035,1.00,0.00,0.5297,0.0067,87.20,0.52,0.4619,0.0065,4.97,0.20,0.2073,0.0010,66.85,0.96,0.1386,0.0021,1.49,0.06,0.1710,0.0017,59.69,2.16,0.1021,0.0038,1.10,0.06
sha,0.1971,0.0096,28.10,1.60,0.0554,0.0042,1.00,0.00,0.2845,0.0016,50.80,0.93,0.1445,0.0028,2.61,0.20,0.2045,0.0010,31.64,0.41,0.0647,0.0009,1.17,0.09,0.2044,0.0015,31.31,1.27,0.0640,0.0026,1.16,0.10
adpcm-encode,0.1365,0.0007,92.23,1.14,0.1259,0.0017,1.00,0.00,0.1650,0.0007,93.14,1.02,0.1537,0.0018,1.22,0.02,0.1119,0.0003,90.00,2.17,0.1007,0.0024,0.80,0.02,0.1121,0.0005,90.14,1.45,0.1010,0.0017,0.80,0.02
adpcm-decode,0.0599,0.0005,84.86,2.46,0.0508,0.0015,1.00,0.00,0.1269,0.0004,93.10,1.21,0.1182,0.0016,2.33,0.08,0.0616,0.0003,86.29,1.74,0.0531,0.0011,1.05,0.04,0.0579,0.0002,84.74,1.76,0.0491,0.0010,0.97,0.04
stringsearch,0.9887,0.0023,20.76,0.91,0.2053,0.0090,1.00,0.00,2.0991,0.0051,62.14,0.48,1.3044,0.0107,6.35,0.28,0.9939,0.0060,24.02,0.59,0.2387,0.0060,1.16,0.06,1.0215,0.0089,23.53,0.50,0.2404,0.0055,1.17,0.06
blowfish-encode,0.0532,0.0038,51.08,6.22,0.0272,0.0038,1.00,0.00,0.0930,0.0012,52.28,1.83,0.0486,0.0018,1.79,0.26,0.0751,0.0023,46.78,2.93,0.0351,0.0025,1.29,0.20,0.0740,0.0062,43.92,4.02,0.0325,0.0040,1.20,0.22
blowfish-decode,0.0507,0.0003,53.10,4.59,0.0269,0.0023,1.00,0.00,0.0955,0.0019,54.69,2.48,0.0523,0.0026,1.94,0.19,0.0737,0.0002,47.79,2.35,0.0352,0.0017,1.31,0.13,0.0681,0.0004,43.28,2.37,0.0295,0.0016,1.10,0.11
basicmath,0.2995,0.0148,2.91,0.53,0.0087,0.0016,1.00,0.00,0.2792,0.0075,2.99,0.35,0.0084,0.0010,0.96,0.21,0.2801,0.0106,3.18,0.59,0.0089,0.0017,1.02,0.27,0.2802,0.0083,2.84,0.43,0.0080,0.0012,0.91,0.22
bitcount,0.0630,0.0032,99.82,0.23,0.0629,0.0032,1.00,0.00,0.0794,0.0021,99.90,0.16,0.0793,0.0021,1.26,0.07,0.1052,0.0043,99.87,0.19,0.1051,0.0043,1.67,0.11,0.0505,0.0017,99.59,0.50,0.0503,0.0017,0.80,0.05
