benchmarks,native,,,,,,,,globals,,,,,,,,locals,,,,,,,,abi,,,,,,,
name,tmean,tsd,%mean,%sd,mean,sd,x,xsd,tmean,tsd,%mean,%sd,mean,sd,x,xsd,tmean,tsd,%mean,%sd,mean,sd,x,xsd,tmean,tsd,%mean,%sd,mean,sd,x,xsd
dijkstra,0.6493,0.0002,92.47,0.40,0.6004,0.0026,1.00,0.00,1.0852,0.0017,95.31,0.38,1.0343,0.0044,1.72,0.01,0.5728,0.0003,91.41,0.63,0.5236,0.0036,0.87,0.01,0.5747,0.0018,91.07,0.32,0.5233,0.0025,0.87,0.01
crc32,0.0913,0.0014,38.80,2.23,0.0354,0.0021,1.00,0.00,0.1114,0.0009,44.98,2.48,0.0501,0.0028,1.41,0.12,0.0928,0.0018,42.59,3.34,0.0395,0.0032,1.11,0.11,0.0853,0.0005,36.06,1.77,0.0308,0.0015,0.87,0.07
rijndael-encode,0.1541,0.0001,61.21,1.30,0.0944,0.0020,1.00,0.00,0.5364,0.0010,87.72,0.89,0.4705,0.0049,4.99,0.12,0.2070,0.0012,69.51,1.09,0.1439,0.0024,1.53,0.04,0.1685,0.0006,62.62,1.50,0.1055,0.0025,1.12,0.04
rijndael-decode,0.1542,0.0001,58.70,2.19,0.0905,0.0034,1.00,0.00,0.5240,0.0011,87.13,0.94,0.4566,0.0050,5.05,0.20,0.2050,0.0007,67.23,1.68,0.1379,0.0035,1.52,0.07,0.1690,0.0007,60.72,1.47,0.1026,0.0025,1.13,0.05
sha,0.1923,0.0007,24.86,1.70,0.0478,0.0033,1.00,0.00,0.2890,0.0004,49.68,1.70,0.1436,0.0049,3.00,0.23,0.2107,0.0018,30.73,0.89,0.0647,0.0020,1.35,0.10,0.2103,0.0013,31.15,1.25,0.0655,0.0027,1.37,0.11
adpcm-encode,0.1520,0.0002,91.69,1.14,0.1394,0.0017,1.00,0.00,0.1644,0.0027,92.59,0.79,0.1523,0.0028,1.09,0.02,0.1121,0.0003,89.20,1.16,0.1000,0.0013,0.72,0.01,0.1116,0.0015,89.99,1.60,0.1005,0.0022,0.72,0.02
adpcm-decode,0.0530,0.0018,82.48,2.13,0.0438,0.0019,1.00,0.00,0.1273,0.0001,92.42,1.08,0.1177,0.0014,2.69,0.12,0.0617,0.0001,84.25,1.49,0.0520,0.0009,1.19,0.06,0.0582,0.0002,83.51,2.80,0.0486,0.0016,1.11,0.06
stringsearch,0.8970,0.0014,10.21,0.58,0.0916,0.0052,1.00,0.00,2.0701,0.0081,62.00,0.59,1.2834,0.0133,14.01,0.81,1.0044,0.0025,22.92,0.86,0.2302,0.0087,2.51,0.17,1.0223,0.0019,23.36,0.44,0.2389,0.0045,2.61,0.16
blowfish-encode,0.0468,0.0004,63.73,3.85,0.0299,0.0018,1.00,0.00,0.0710,0.0017,70.89,3.34,0.0503,0.0027,1.69,0.14,0.0517,0.0003,66.01,3.96,0.0342,0.0021,1.14,0.10,0.0465,0.0002,62.89,3.84,0.0293,0.0018,0.98,0.08
blowfish-decode,0.0482,0.0007,65.66,4.67,0.0317,0.0023,1.00,0.00,0.0711,0.0003,70.17,2.81,0.0499,0.0020,1.58,0.13,0.0524,0.0000,66.93,2.10,0.0351,0.0011,1.11,0.09,0.0468,0.0017,63.82,5.32,0.0299,0.0027,0.94,0.11
