benchmarks,native,,,,,,,,globals,,,,,,,,locals,,,,,,,,abi,,,,,,,
name,tmean,tsd,%mean,%sd,mean,sd,x,xsd,tmean,tsd,%mean,%sd,mean,sd,x,xsd,tmean,tsd,%mean,%sd,mean,sd,x,xsd,tmean,tsd,%mean,%sd,mean,sd,x,xsd
dijkstra,5.1548,0.0355,91.14,0.19,4.6980,0.0339,1.00,0.00,11.7180,0.0427,96.01,0.10,11.2504,0.0425,2.39,0.02,4.2686,0.0293,88.90,0.23,3.7948,0.0279,0.81,0.01,4.3831,0.0296,89.28,0.23,3.9132,0.0283,0.83,0.01
crc32,0.6167,0.0159,43.62,0.79,0.2690,0.0085,1.00,0.00,1.0167,0.0157,66.20,0.75,0.6730,0.0129,2.50,0.09,0.7058,0.0134,51.28,1.35,0.3620,0.0117,1.35,0.06,0.7724,0.0182,55.26,0.60,0.4269,0.0111,1.59,0.06
rijndael-encode,1.3707,0.0163,65.67,0.89,0.9001,0.0163,1.00,0.00,4.7171,0.0151,90.02,0.63,4.2465,0.0327,4.72,0.09,2.2675,0.0036,79.50,1.02,1.8026,0.0234,2.00,0.04,1.7859,0.0083,73.84,1.05,1.3187,0.0197,1.47,0.03
rijndael-decode,1.4003,0.0193,67.37,1.05,0.9434,0.0197,1.00,0.00,4.6405,0.0277,89.74,0.33,4.1643,0.0291,4.41,0.10,2.2330,0.0202,79.66,0.28,1.7789,0.0172,1.89,0.04,1.7790,0.0176,73.95,0.81,1.3155,0.0194,1.39,0.04
sha,1.0366,0.0133,28.85,0.80,0.2991,0.0091,1.00,0.00,2.0451,0.0125,63.17,0.44,1.2918,0.0119,4.32,0.14,1.2898,0.0132,41.70,1.33,0.5378,0.0181,1.80,0.08,1.1751,0.0118,36.31,0.88,0.4267,0.0111,1.43,0.06
adpcm-encode,0.5224,0.0163,89.15,0.47,0.4657,0.0148,1.00,0.00,1.2742,0.0163,95.68,0.26,1.2192,0.0160,2.62,0.09,0.6117,0.0224,90.89,0.56,0.5559,0.0207,1.19,0.06,0.6090,0.0198,90.97,0.49,0.5540,0.0182,1.19,0.05
adpcm-decode,0.3578,0.0175,88.89,0.62,0.3181,0.0157,1.00,0.00,1.1454,0.0152,96.30,0.13,1.1030,0.0147,3.47,0.18,0.4308,0.0165,90.08,0.40,0.3881,0.0150,1.22,0.08,0.4126,0.0254,90.02,0.99,0.3714,0.0232,1.17,0.09
stringsearch,6.3568,0.0185,25.01,0.29,1.5897,0.0191,1.00,0.00,8.8508,0.0189,46.75,0.41,4.1378,0.0370,2.60,0.04,6.3505,0.0275,25.01,0.27,1.5885,0.0185,1.00,0.02,6.3846,0.0340,25.32,0.28,1.6165,0.0196,1.02,0.02
blowfish-encode,0.2982,0.0241,67.39,1.38,0.2010,0.0167,1.00,0.00,0.5432,0.0011,85.19,0.77,0.4627,0.0043,2.30,0.19,0.3948,0.0014,77.04,2.13,0.3041,0.0085,1.51,0.13,0.3502,0.0237,74.39,1.52,0.2605,0.0185,1.30,0.14
blowfish-decode,0.2886,0.0165,67.55,0.99,0.1950,0.0115,1.00,0.00,0.5477,0.0015,84.00,0.79,0.4601,0.0045,2.36,0.14,0.3969,0.0147,77.71,0.77,0.3085,0.0118,1.58,0.11,0.3349,0.0012,74.67,1.69,0.2501,0.0057,1.28,0.08
basicmath,1.9542,0.0214,2.61,0.16,0.0510,0.0032,1.00,0.00,2.0119,0.0347,4.30,0.33,0.0864,0.0069,1.69,0.17,1.9522,0.0075,2.61,0.23,0.0509,0.0045,1.00,0.11,1.9525,0.0070,2.63,0.20,0.0514,0.0040,1.01,0.10
bitcount,0.4315,0.0197,99.74,0.07,0.4304,0.0197,1.00,0.00,0.6050,0.0030,99.79,0.07,0.6038,0.0030,1.40,0.06,1.3361,0.0049,99.88,0.05,1.3345,0.0050,3.10,0.14,0.5100,0.0025,99.74,0.09,0.5086,0.0025,1.18,0.05
fft-std,6.9965,0.0270,7.45,0.12,0.5211,0.0084,1.00,0.00,7.5515,0.0397,14.02,0.15,1.0585,0.0125,2.03,0.04,7.0802,0.0501,7.80,0.11,0.5520,0.0086,1.06,0.02,7.0654,0.0385,7.71,0.12,0.5446,0.0088,1.05,0.02
fft-inv,4.3013,0.0091,12.47,0.25,0.5364,0.0107,1.00,0.00,4.8792,0.0440,22.29,0.17,1.0875,0.0130,2.03,0.05,4.4133,0.0181,13.36,0.22,0.5894,0.0101,1.10,0.03,4.3621,0.0202,12.97,0.19,0.5660,0.0086,1.06,0.03
