benchmarks,native,,,,,,,,globals,,,,,,,,locals,,,,,,,,abi,,,,,,,
name,tmean,tsd,%mean,%sd,mean,sd,x,xsd,tmean,tsd,%mean,%sd,mean,sd,x,xsd,tmean,tsd,%mean,%sd,mean,sd,x,xsd,tmean,tsd,%mean,%sd,mean,sd,x,xsd
dijkstra,0.5865,0.0025,91.41,0.50,0.5362,0.0037,1.00,0.00,1.2139,0.0100,95.99,0.49,1.1653,0.0113,2.17,0.03,1.0405,0.0217,94.97,0.22,0.9881,0.0208,1.84,0.04,0.7381,0.0099,93.15,0.73,0.6876,0.0107,1.28,0.02
crc32,0.1718,0.0057,14.24,1.83,0.0245,0.0033,1.00,0.00,0.2226,0.0014,24.85,1.89,0.0553,0.0042,2.26,0.35,0.1792,0.0047,13.59,0.84,0.0244,0.0016,1.00,0.15,0.1632,0.0011,15.31,1.79,0.0250,0.0029,1.02,0.18
rijndael-encode,0.1592,0.0012,57.41,2.15,0.0914,0.0035,1.00,0.00,0.3194,0.0018,77.52,0.89,0.2476,0.0032,2.71,0.11,0.1882,0.0025,62.46,2.59,0.1175,0.0051,1.29,0.07,0.1651,0.0055,58.50,2.06,0.0966,0.0047,1.06,0.07
rijndael-decode,0.1547,0.0041,57.23,1.37,0.0885,0.0032,1.00,0.00,0.3307,0.0027,79.27,0.91,0.2622,0.0037,2.96,0.11,0.1772,0.0012,61.93,2.32,0.1097,0.0042,1.24,0.06,0.1641,0.0018,58.21,1.73,0.0955,0.0030,1.08,0.05
sha,0.1924,0.0058,26.31,1.83,0.0506,0.0038,1.00,0.00,0.2918,0.0010,51.70,1.31,0.1509,0.0038,2.98,0.24,0.1991,0.0005,29.70,1.58,0.0591,0.0031,1.17,0.11,0.1943,0.0012,27.87,1.45,0.0542,0.0028,1.07,0.10
adpcm-encode,0.1367,0.0005,91.89,1.09,0.1256,0.0016,1.00,0.00,0.1825,0.0015,93.07,1.67,0.1699,0.0033,1.35,0.03,0.1563,0.0009,92.67,1.27,0.1448,0.0021,1.15,0.02,0.1534,0.0056,92.15,0.93,0.1414,0.0054,1.13,0.05
adpcm-decode,0.0601,0.0008,86.53,1.99,0.0520,0.0014,1.00,0.00,0.0842,0.0005,89.22,1.38,0.0751,0.0012,1.44,0.05,0.0614,0.0003,85.66,2.46,0.0526,0.0015,1.01,0.04,0.0662,0.0037,86.26,2.56,0.0571,0.0036,1.10,0.07
stringsearch,0.8380,0.0043,7.46,0.30,0.0625,0.0026,1.00,0.00,1.8443,0.0079,56.27,1.41,1.0378,0.0263,16.59,0.80,1.0411,0.0101,22.59,0.67,0.2352,0.0074,3.76,0.19,1.0964,0.0200,23.84,0.62,0.2613,0.0083,4.18,0.22
blowfish-encode,0.0519,0.0023,55.03,3.73,0.0286,0.0023,1.00,0.00,0.0917,0.0006,54.02,2.48,0.0495,0.0023,1.73,0.16,0.0765,0.0012,47.06,3.55,0.0360,0.0028,1.26,0.14,0.0700,0.0009,46.98,1.67,0.0329,0.0013,1.15,0.10
blowfish-decode,0.0516,0.0011,55.13,3.91,0.0284,0.0021,1.00,0.00,0.0935,0.0072,54.78,1.61,0.0512,0.0042,1.80,0.20,0.0757,0.0011,47.40,2.80,0.0359,0.0022,1.26,0.12,0.0703,0.0034,46.28,2.70,0.0325,0.0025,1.14,0.12
basicmath,0.2926,0.0011,2.71,0.44,0.0079,0.0013,1.00,0.00,0.2974,0.0005,4.86,0.61,0.0145,0.0018,1.83,0.37,0.2965,0.0012,5.06,0.47,0.0150,0.0014,1.89,0.35,0.2945,0.0012,3.50,0.33,0.0103,0.0010,1.30,0.25
bitcount,0.0615,0.0017,99.44,1.26,0.0612,0.0018,1.00,0.00,0.0896,0.0014,99.69,0.45,0.0893,0.0015,1.46,0.05,0.0957,0.0038,99.83,0.30,0.0955,0.0038,1.56,0.08,0.0658,0.0001,99.76,0.46,0.0656,0.0003,1.07,0.03
