benchmarks,native,,,,,,,,globals,,,,,,,,locals,,,,,,,,abi,,,,,,,
name,tmean,tsd,%mean,%sd,mean,sd,x,xsd,tmean,tsd,%mean,%sd,mean,sd,x,xsd,tmean,tsd,%mean,%sd,mean,sd,x,xsd,tmean,tsd,%mean,%sd,mean,sd,x,xsd
dijkstra,0.6528,0.0022,100.00,0.00,0.6528,0.0022,1.00,0.00,3.1766,0.0520,100.00,0.00,3.1766,0.0520,4.87,0.08
crc32,0.1505,0.0064,100.00,0.00,0.1505,0.0064,1.00,0.00,0.5716,0.0040,100.00,0.00,0.5716,0.0040,3.80,0.16
rijndael-encode,0.1571,0.0011,100.00,0.00,0.1571,0.0011,1.00,0.00,1.1069,0.0029,100.00,0.00,1.1069,0.0029,7.05,0.05
rijndael-decode,0.1549,0.0004,100.00,0.00,0.1549,0.0004,1.00,0.00,1.0752,0.0025,100.00,0.00,1.0752,0.0025,6.94,0.02
sha,0.1771,0.0026,100.00,0.00,0.1771,0.0026,1.00,0.00,0.7585,0.0125,100.00,0.00,0.7585,0.0125,4.28,0.09
adpcm-encode,0.1545,0.0018,100.00,0.00,0.1545,0.0018,1.00,0.00,0.3215,0.0009,100.00,0.00,0.3215,0.0009,2.08,0.03
adpcm-decode,0.0523,0.0018,100.00,0.00,0.0523,0.0018,1.00,0.00,0.2857,0.0026,100.00,0.00,0.2857,0.0026,5.46,0.19
stringsearch,0.8626,0.0009,100.00,0.00,0.8626,0.0009,1.00,0.00,9.1252,0.0401,100.00,0.00,9.1252,0.0401,10.58,0.05
blowfish-encode,0.0624,0.0016,100.00,0.00,0.0624,0.0016,1.00,0.00,0.2641,0.0013,100.00,0.00,0.2641,0.0013,4.23,0.11
blowfish-decode,0.0616,0.0002,100.00,0.00,0.0616,0.0002,1.00,0.00,0.2616,0.0011,100.00,0.00,0.2616,0.0011,4.25,0.02
