benchmarks,native,,,,,,,,globals,,,,,,,,locals,,,,,,,,abi,,,,,,,
name,tmean,tsd,%mean,%sd,mean,sd,x,xsd,tmean,tsd,%mean,%sd,mean,sd,x,xsd,tmean,tsd,%mean,%sd,mean,sd,x,xsd,tmean,tsd,%mean,%sd,mean,sd,x,xsd
dijkstra,5.6703,0.0215,89.20,0.23,5.0578,0.0234,1.00,0.00,12.0073,0.0265,94.83,0.08,11.3864,0.0271,2.25,0.01,4.3693,0.0294,85.83,0.29,3.7503,0.0282,0.74,0.01,4.3337,0.0083,85.93,0.14,3.7241,0.0093,0.74,0.00
crc32,2.3788,0.0139,14.01,0.37,0.3333,0.0090,1.00,0.00,2.6805,0.0090,23.86,0.27,0.6396,0.0075,1.92,0.06,2.4005,0.0174,14.84,0.33,0.3563,0.0084,1.07,0.04,2.4695,0.0160,17.17,0.25,0.4239,0.0068,1.27,0.04
rijndael-encode,1.8217,0.0158,66.60,2.12,1.2134,0.0400,1.00,0.00,4.8654,0.0421,86.85,0.39,4.2255,0.0411,3.48,0.12,2.4337,0.0301,75.25,2.44,1.8313,0.0636,1.51,0.07,1.9406,0.0286,68.47,1.60,1.3287,0.0366,1.10,0.05
rijndael-decode,1.7704,0.0265,70.22,0.50,1.2431,0.0206,1.00,0.00,4.7272,0.0511,88.51,0.52,4.1841,0.0515,3.37,0.07,2.2865,0.0090,77.30,1.03,1.7673,0.0246,1.42,0.03,1.8508,0.0183,72.87,1.77,1.3486,0.0354,1.08,0.03
sha,1.1415,0.0205,27.77,0.82,0.3170,0.0110,1.00,0.00,2.1801,0.0336,60.57,1.41,1.3205,0.0369,4.17,0.19,1.3906,0.0279,37.46,1.72,0.5209,0.0261,1.64,0.10,1.2839,0.0219,33.05,0.97,0.4243,0.0144,1.34,0.06
adpcm-encode,0.5414,0.0159,88.88,0.64,0.4812,0.0145,1.00,0.00,1.2729,0.0228,95.72,0.32,1.2184,0.0221,2.53,0.09,0.5939,0.0159,90.95,0.56,0.5402,0.0148,1.12,0.05,0.5975,0.0152,90.50,0.35,0.5408,0.0139,1.12,0.04
adpcm-decode,0.3695,0.0170,89.59,0.81,0.3310,0.0155,1.00,0.00,1.1349,0.0027,96.24,0.17,1.0921,0.0032,3.30,0.15,0.4300,0.0155,90.37,0.86,0.3886,0.0145,1.17,0.07,0.3933,0.0028,89.92,0.56,0.3537,0.0033,1.07,0.05
stringsearch,7.2596,0.0079,28.63,0.29,2.0781,0.0213,1.00,0.00,9.4750,0.0874,43.06,0.25,4.0800,0.0444,1.96,0.03,6.9358,0.0591,22.63,0.21,1.5695,0.0196,0.76,0.01,7.5277,0.0414,28.42,0.26,2.1390,0.0228,1.03,0.02
blowfish-encode,0.4946,0.0169,40.50,1.42,0.2003,0.0098,1.00,0.00,0.9663,0.0016,46.96,0.90,0.4537,0.0087,2.27,0.12,0.8261,0.0218,37.77,1.63,0.3120,0.0158,1.56,0.11,0.7699,0.0034,33.82,0.53,0.2604,0.0043,1.30,0.07
blowfish-decode,0.5005,0.0227,41.13,1.71,0.2058,0.0126,1.00,0.00,0.9790,0.0154,46.59,1.54,0.4562,0.0167,2.22,0.16,0.8133,0.0028,37.96,0.92,0.3087,0.0076,1.50,0.10,0.7768,0.0164,33.39,0.43,0.2594,0.0064,1.26,0.08
