benchmarks,native,,,,,,,,globals,,,,,,,,locals,,,,,,,,abi,,,,,,,
name,tmean,tsd,%mean,%sd,mean,sd,x,xsd,tmean,tsd,%mean,%sd,mean,sd,x,xsd,tmean,tsd,%mean,%sd,mean,sd,x,xsd,tmean,tsd,%mean,%sd,mean,sd,x,xsd
dijkstra,0.6584,0.0012,92.10,0.75,0.6064,0.0050,1.00,0.00,1.0930,0.0022,95.33,0.29,1.0420,0.0038,1.72,0.02,0.5775,0.0014,91.85,0.36,0.5304,0.0025,0.87,0.01,0.5540,0.0005,90.54,0.59,0.5015,0.0033,0.83,0.01
crc32,0.1736,0.0006,16.91,1.51,0.0294,0.0026,1.00,0.00,0.2039,0.0019,22.64,1.94,0.0462,0.0040,1.57,0.20,0.1705,0.0012,16.35,1.26,0.0279,0.0022,0.95,0.11,0.1682,0.0004,12.69,0.86,0.0213,0.0014,0.73,0.08
rijndael-encode,0.1613,0.0006,58.90,1.12,0.0950,0.0018,1.00,0.00,0.5418,0.0008,86.85,0.74,0.4705,0.0041,4.95,0.11,0.2126,0.0011,67.92,1.34,0.1444,0.0029,1.52,0.04,0.1737,0.0014,61.59,1.66,0.1070,0.0030,1.13,0.04
rijndael-decode,0.1599,0.0006,60.68,1.69,0.0970,0.0027,1.00,0.00,0.5268,0.0019,87.22,0.76,0.4595,0.0043,4.73,0.14,0.2072,0.0012,67.50,1.61,0.1398,0.0034,1.44,0.05,0.1698,0.0006,59.77,2.18,0.1015,0.0037,1.05,0.05
sha,0.1865,0.0012,26.26,1.69,0.0490,0.0032,1.00,0.00,0.2843,0.0007,49.83,1.00,0.1417,0.0029,2.89,0.20,0.2044,0.0008,32.26,0.55,0.0659,0.0012,1.35,0.09,0.2040,0.0020,31.58,1.74,0.0644,0.0036,1.32,0.11
adpcm-encode,0.1547,0.0007,92.30,1.26,0.1428,0.0020,1.00,0.00,0.1641,0.0008,92.43,1.13,0.1516,0.0020,1.06,0.02,0.1128,0.0008,89.56,0.94,0.1010,0.0013,0.71,0.01,0.1113,0.0008,89.73,1.29,0.0998,0.0016,0.70,0.02
adpcm-decode,0.0525,0.0003,83.45,2.91,0.0438,0.0015,1.00,0.00,0.1282,0.0002,93.06,1.35,0.1193,0.0017,2.72,0.10,0.0620,0.0004,85.20,0.75,0.0528,0.0006,1.21,0.04,0.0583,0.0003,85.66,2.35,0.0499,0.0014,1.14,0.05
stringsearch,0.8780,0.0019,9.60,0.43,0.0843,0.0038,1.00,0.00,2.0718,0.0071,61.95,0.59,1.2834,0.0130,15.23,0.70,0.9974,0.0028,23.20,0.65,0.2314,0.0065,2.75,0.14,1.0022,0.0050,23.37,0.81,0.2342,0.0082,2.78,0.16
blowfish-encode,0.0688,0.0003,43.53,2.62,0.0300,0.0018,1.00,0.00,0.0932,0.0005,54.62,2.94,0.0509,0.0027,1.70,0.14,0.0742,0.0010,47.32,2.57,0.0351,0.0020,1.17,0.10,0.0684,0.0011,43.69,3.20,0.0299,0.0022,1.00,0.10
blowfish-decode,0.0685,0.0004,42.84,3.03,0.0293,0.0021,1.00,0.00,0.0950,0.0005,54.55,2.53,0.0518,0.0024,1.77,0.15,0.0735,0.0005,47.57,4.41,0.0350,0.0033,1.19,0.14,0.0687,0.0004,43.69,2.41,0.0300,0.0017,1.02,0.09
