benchmarks,native,,,,,,,,globals,,,,,,,,locals,,,,,,,,abi,,,,,,,
name,tmean,tsd,%mean,%sd,mean,sd,x,xsd,tmean,tsd,%mean,%sd,mean,sd,x,xsd,tmean,tsd,%mean,%sd,mean,sd,x,xsd,tmean,tsd,%mean,%sd,mean,sd,x,xsd
dijkstra,0.6578,0.0009,92.06,0.49,0.6055,0.0033,1.00,0.00,1.0911,0.0025,95.32,0.48,1.0400,0.0058,1.72,0.01,0.5778,0.0021,91.51,0.38,0.5288,0.0029,0.87,0.01,0.5646,0.0032,91.32,0.60,0.5156,0.0045,0.85,0.01
crc32,0.1734,0.0011,17.69,1.13,0.0307,0.0020,1.00,0.00,0.2066,0.0038,21.94,2.11,0.0453,0.0044,1.48,0.17,0.1797,0.0014,15.52,1.91,0.0279,0.0034,0.91,0.13,0.1676,0.0005,12.59,1.79,0.0211,0.0030,0.69,0.11
rijndael-encode,0.1889,0.0007,60.67,0.66,0.1146,0.0013,1.00,0.00,0.5431,0.0022,86.73,0.39,0.4710,0.0028,4.11,0.05,0.2195,0.0121,67.78,1.29,0.1488,0.0087,1.30,0.08,0.1795,0.0011,62.69,1.48,0.1125,0.0027,0.98,0.03
rijndael-decode,0.1792,0.0002,61.96,1.70,0.1111,0.0031,1.00,0.00,0.5266,0.0051,87.34,0.77,0.4600,0.0060,4.14,0.13,0.2112,0.0113,68.15,1.58,0.1440,0.0084,1.30,0.08,0.1767,0.0013,62.97,1.92,0.1112,0.0035,1.00,0.04
sha,0.1909,0.0005,28.04,1.55,0.0535,0.0030,1.00,0.00,0.2836,0.0013,50.68,1.56,0.1437,0.0045,2.69,0.17,0.2223,0.0007,37.02,1.83,0.0823,0.0041,1.54,0.11,0.2051,0.0011,31.71,1.29,0.0650,0.0027,1.22,0.08
adpcm-encode,0.1535,0.0004,92.33,1.12,0.1417,0.0018,1.00,0.00,0.1637,0.0007,93.51,1.11,0.1531,0.0019,1.08,0.02,0.1125,0.0006,91.60,1.79,0.1031,0.0021,0.73,0.02,0.1100,0.0003,90.44,1.41,0.0995,0.0016,0.70,0.01
adpcm-decode,0.0522,0.0010,84.99,2.47,0.0444,0.0016,1.00,0.00,0.1267,0.0005,92.95,1.18,0.1177,0.0016,2.65,0.10,0.0613,0.0003,86.26,2.48,0.0528,0.0015,1.19,0.05,0.0573,0.0004,83.78,1.50,0.0480,0.0009,1.08,0.04
stringsearch,1.0460,0.0044,24.08,0.71,0.2519,0.0075,1.00,0.00,2.0663,0.0098,61.79,0.45,1.2768,0.0112,5.07,0.16,0.9994,0.0121,23.29,0.86,0.2327,0.0091,0.92,0.05,1.0123,0.0083,23.49,0.70,0.2378,0.0074,0.94,0.04
blowfish-encode,0.0686,0.0007,44.67,1.14,0.0307,0.0008,1.00,0.00,0.0956,0.0039,52.75,4.86,0.0504,0.0051,1.64,0.17,0.0717,0.0001,48.63,2.84,0.0349,0.0020,1.14,0.07,0.0672,0.0014,46.62,3.95,0.0313,0.0027,1.02,0.09
blowfish-decode,0.0685,0.0004,42.51,3.15,0.0291,0.0022,1.00,0.00,0.0941,0.0008,54.53,2.35,0.0513,0.0023,1.76,0.15,0.0735,0.0018,47.82,1.47,0.0351,0.0014,1.21,0.10,0.0665,0.0004,44.60,3.72,0.0297,0.0025,1.02,0.11
basicmath,0.2745,0.0006,2.87,0.58,0.0079,0.0016,1.00,0.00,0.2794,0.0152,3.34,0.56,0.0093,0.0016,1.18,0.32,0.2737,0.0001,3.09,0.50,0.0085,0.0014,1.07,0.28,0.2733,0.0003,3.12,0.43,0.0085,0.0012,1.08,0.26
bitcount,0.0626,0.0001,99.96,0.13,0.0626,0.0001,1.00,0.00,0.0809,0.0029,99.78,0.51,0.0807,0.0029,1.29,0.05,0.1096,0.0005,100.00,0.00,0.1096,0.0005,1.75,0.01,0.0503,0.0008,99.90,0.21,0.0503,0.0008,0.80,0.01
fft-std,1.0225,0.0076,5.08,0.25,0.0519,0.0026,1.00,0.00,1.0588,0.0033,8.31,0.20,0.0880,0.0022,1.70,0.09,1.0262,0.0076,5.63,0.21,0.0578,0.0022,1.11,0.07,1.0270,0.0042,5.30,0.21,0.0545,0.0022,1.05,0.07
fft-inv,0.6975,0.0036,7.52,0.36,0.0525,0.0025,1.00,0.00,0.7372,0.0094,12.46,0.49,0.0918,0.0038,1.75,0.11,0.7040,0.0027,8.32,0.40,0.0586,0.0028,1.12,0.08,0.7001,0.0023,8.09,0.42,0.0566,0.0029,1.08,0.08
patricia,0.0699,0.0013,4.38,1.25,0.0031,0.0009,1.00,0.00,0.0710,0.0005,5.23,1.49,0.0037,0.0011,1.21,0.49,0.0712,0.0047,4.69,0.77,0.0033,0.0006,1.09,0.37,0.0696,0.0010,4.07,0.89,0.0028,0.0006,0.93,0.33
susan-smoothing,0.4188,0.0090,99.81,0.10,0.4180,0.0090,1.00,0.00,0.7658,0.0014,99.69,0.25,0.7634,0.0023,1.83,0.04,0.3134,0.0002,99.76,0.15,0.3127,0.0005,0.75,0.02,0.2877,0.0033,99.60,0.25,0.2865,0.0034,0.69,0.02
susan-edges,1.2780,0.0163,99.27,0.24,1.2687,0.0164,1.00,0.00,2.4986,0.0069,99.51,0.16,2.4864,0.0079,1.96,0.03,1.4482,0.0322,99.22,0.34,1.4369,0.0323,1.13,0.03,1.3835,0.0056,99.19,0.46,1.3722,0.0085,1.08,0.02
